20:25:15 [debug]   [sync_server] run
20:25:16 [debug]   [sync_server] epoll_fd: 4, listen_fd: 3
20:25:16 [debug]   [timer] run
20:25:16 [debug]   [sync_server] run success
20:26:22 [debug]   [sync server] epoll listen 1 events
20:26:22 [debug]   [sync_server] get user: 5
20:26:22 [debug]   [sync server] epoll listen 1 events
20:26:22 [debug]   [sync_server] get user: 6
20:26:22 [debug]   [sync server] epoll listen 1 events
20:26:22 [debug]   [sync_server] get user: 7
20:26:22 [debug]   [sync server] epoll listen 1 events
20:26:22 [debug]   [sync_server] get user: 8
20:26:22 [debug]   [sync server] epoll listen 1 events
